Date,GDP
2015-03-31,18.193707
2015-06-30,18.30696
2015-09-30,18.332079
2015-12-31,18.425306
2016-03-31,18.611617
2016-06-30,18.775458999999998
2016-09-30,18.968041
2016-12-31,19.148194
2017-03-31,19.304506
2017-06-30,19.561896
2017-09-30,19.89475
2017-12-31,20.155486
2018-03-31,20.470197
2018-06-30,20.687278
2018-09-30,20.819269
2018-12-31,21.013085
2019-03-31,21.272448
2019-06-30,21.531839
2019-09-30,21.706532
2019-12-31,21.538031999999998
2020-03-31,19.636731
2020-06-30,21.362428
2020-09-30,21.704705999999998
2020-12-31,22.31385
2021-03-31,23.046934
2021-06-30,23.55042
2021-09-30,24.349121
2021-12-31,24.740479999999998
2022-03-31,25.248476
2022-06-30,25.723941
