Date,BOP,CCI_14_0.015,CFO_9,DPO_20,EBSW_40_10,Target
2016-01-14,0.3291130275784586,-70.53636764501746,2.380083364854246,0.2725830078125,-0.9049653108435586,1
2016-01-15,0.3957450676743963,-90.93590060155272,-0.2965185626832499,-0.150026893615724,-0.8640403311622131,0
2016-01-19,-0.5555552864412394,-79.2239097707462,-0.8363865464404561,-0.1848169326782205,-0.7979089252007322,1
2016-01-20,0.3542978884030087,-88.86849189118838,-0.7590131019250949,-0.1141364097595207,-0.900876565517339,0
2016-01-21,-0.2585019890956563,-80.35665110491314,-0.4278345601648067,-0.2043190002441406,-0.991057146491915,1
2016-01-22,0.9029139877336998,46.69649628488493,3.414639642199752,0.9839193344116204,-0.1772752262358566,0
2016-01-25,-0.8965493427867743,55.32304263569721,0.9399245194861868,0.5653621673583977,0.5006912545013785,1
2016-01-26,0.0213514628901603,62.21519722531777,0.4713725577355104,0.7504992485046387,0.9819014178029432,0
2016-01-27,-0.7963531968081672,-166.76254850530623,-4.342627170342305,-0.7167658805847168,0.377916600062025,1
2016-01-28,0.1408431029109892,-158.65686126066524,-2.4829856395260546,-0.505983829498291,-0.5224023808079846,1
2016-01-29,0.8528418877023711,-46.5032756153104,0.9305379973787218,0.2374577522277903,-0.8958531965112908,0
2016-02-01,-0.0305351069282049,-46.24289689635204,0.4666659311127699,0.006384086608886,-0.8095196461755857,0
2016-02-02,-0.5340873131125841,-83.82929873150195,-0.373967234469404,-0.4398225784301743,-0.9588368683669162,1
2016-02-03,0.4891308554337381,-46.21038848098364,1.9841982734785848,-0.0148267745971679,-0.9442719879126018,1
2016-02-04,0.3457934929089321,6.567748232532541,1.7031196315200705,0.2082944869995131,-0.4469181692175264,0
2016-02-05,-0.7739948318460323,-55.34061158779688,-0.8865676645400085,-0.3369135856628418,-0.220136128591638,1
2016-02-08,0.7067698070563347,-61.08119059228886,-0.593031149999676,-0.0705502510070807,-0.223043623412899,1
2016-02-09,0.3482568180524282,-42.41330090332337,-0.1470868149844126,-0.1193899154663071,-0.9274849730503452,0
2016-02-10,-0.7333340115017265,-40.535569141017824,-0.1630952451432522,-0.3233546257018993,-0.9287109644294615,0
2016-02-11,-0.042255286835921,-89.59430021683772,-0.5068903457785431,-0.4530883789062514,-0.8961091722735482,0
2016-02-12,-0.1342314526080741,-80.42030486227992,-0.0555624489043393,-0.4395205497741692,-0.9874156816226336,1
2016-02-16,0.7232162015796832,106.73534168864552,2.103122600268747,0.0922788619995103,-0.3575302275823208,1
2016-02-17,0.7038865515095873,182.6390289426845,2.1939220598352462,0.36760864257813,0.5199603110966866,0
2016-02-18,-0.9214254963188248,127.01276404359405,-0.3977779036870896,-0.1341592788696282,0.9280188217964256,1
2016-02-19,0.0416676600783577,58.3185656075277,-0.6712432704069072,-0.2750995635986335,0.9092686474931796,1
2016-02-22,0.5816303493160747,73.96706504740304,-0.2571380988093613,-0.151070404052735,0.8972611072033602,0
2016-02-23,-0.8769239798114274,-17.867907963720064,-2.035186414740316,-0.7255480766296394,0.4514136754973704,1
2016-02-24,0.6928094145806354,-16.638879925018372,-0.41390726477614,-0.4804718971252448,-0.231313015398465,1
2016-02-25,0.4701974039885105,53.31240321748716,0.3936471898132059,-0.4270874023437514,-0.5276779829819186,0
2016-02-26,-0.2013849520247115,98.18650784258996,0.7558010360438417,-0.4907151222229018,0.1583028988371588,0
2016-02-29,-0.1075936531237003,86.89581200074909,0.4166700361450937,-0.6326982498168938,0.9805699698296207,1
2016-03-01,0.8597010642440898,195.4197810556989,2.3446839235331454,0.1606174468994154,0.8040498591581788,1
2016-03-02,0.1919982910156336,189.3187490012254,1.1734184634017235,0.1014764785766608,0.8684888406008112,1
2016-03-03,0.7301560390188502,184.26033473826672,0.5933316225888652,0.1603894233703613,0.985973231503264,1
2016-03-04,0.268907616901374,178.92393679523502,0.3777513993342211,0.4039649963378906,0.9983258776700548,0
2016-03-07,-0.278072662736367,115.8375864548322,-1.1269107915373953,0.0032266616821274,0.989606213150826,1
2016-03-08,0.1838234469140209,75.40208668540663,-1.883059582871469,-0.3054748535156264,0.9074531929072576,0
2016-03-09,-0.1450336332663498,62.977325803095205,-1.5614121059997184,-0.3872799873352051,0.7737419912064443,0
