Date,Open,High,Low,Close,Volume
2015-03-31,28.4867964726331,28.577166544703843,28.095948367150836,28.11176300048828,168362400
2015-04-01,28.19987321218302,28.267651196829092,27.81128311069915,28.071096420288086,162485600
2015-04-02,28.24731743376598,28.367057047494477,28.057541832460235,28.312835693359375,128880400
2015-04-06,28.120794480340148,28.80760447573823,28.089165220076094,28.771455764770508,148776000
2015-04-07,28.8369735124514,28.945416196150255,28.461940122800236,28.468717575073242,140049200
2015-04-08,28.43257398810637,28.556833047720136,28.233761216390032,28.3760929107666,149316800
2015-04-09,28.43257338176802,28.59749888249593,28.163724631456716,28.592979431152344,129936000
2015-04-10,28.455169653275938,28.739834801498702,28.299283032304107,28.714982986450195,160752000
2015-04-13,29.001904891645427,29.047092515125456,28.604279315275516,28.65850067138672,145460400
2015-04-14,28.692387048417476,28.757905304423033,28.44613038063704,28.53424072265625,102098400
2015-04-15,28.55909213971287,28.721756190962704,28.46872207324142,28.642683029174805,115881600
2015-04-16,28.529719363764066,28.714977214554786,28.49131264774216,28.504867553710938,113476000
2015-04-17,28.364799289963205,28.498093812458613,28.11854088290796,28.184059143066406,207828000
2015-04-20,28.369315816511286,28.945421778472706,28.278945746890166,28.82794189453125,188217200
2015-04-21,28.940902839272205,28.96349319980435,28.617829312949773,28.67205238342285,129740400
2015-04-22,28.69012981633884,29.11486693077508,28.538760930858807,29.058385848999023,150618000
2015-04-23,28.986085731534057,29.465044100634334,28.949937019476813,29.29560089111328,183083600
2015-04-24,29.4808658053768,29.51249507233454,29.196198955425594,29.433420181274414,178103600
2015-04-27,29.892045279867094,30.07730487111238,29.629972249616838,29.96885871887207,387816800
2015-04-28,30.37778034852781,30.3958512573616,29.273010752024025,29.496673583984375,475696000
2015-04-29,29.406306429448815,29.729376509602265,28.98608711193137,29.06290054321289,253544400
2015-04-30,29.06290472462493,29.06290472462493,28.145652526339276,28.274429321289062,332781600
2015-05-01,28.489050731328106,29.39952700741108,28.30831234553649,29.1329345703125,234050400
2015-05-04,29.257198114573235,29.4989387807409,28.977050729425283,29.076457977294922,203953200
2015-05-05,28.952201929355844,29.01997991880258,28.416762362656947,28.421281814575195,197085600
2015-05-06,28.5929775591263,28.63590372575168,27.87002052139405,28.242795944213867,288564000
2015-05-07,28.306319624470447,28.603517881732493,28.13616862431385,28.4174861907959,175763600
2015-05-08,28.739639634453596,28.95289611816406,28.610324937725363,28.952896118164062,222201600
2015-05-11,28.90071723585819,28.939284384259487,28.50142903178087,28.657968521118164,168143200
2015-05-12,28.494622352181285,28.785013134589075,28.317665577330636,28.555877685546875,192640000
2015-05-13,28.619394509986034,28.855337404414914,28.55587175588311,28.58763313293457,138776800
2015-05-14,28.905252039064223,29.254627227783203,28.848535040382313,29.254627227783203,180814000
2015-05-15,29.281853892018507,29.377138034887416,29.086747277078107,29.21379280090332,152832000
