Date,Open,High,Low,Close,Volume,Total Assets,Total Liabilities,Total Current Assets,Total Current Liabilities,Total Equity,Retained Earnings,Long Term Debt,Net Cash from Operating Activities,Net Cash from Investing Activities,Net Cash from Financing Activities,Revenue,Operating Income (Loss),Pretax Income (Loss),Net Income,Estimated EPS,Actual EPS,CPI,GDP,Treasury_3M,Treasury_1Y,Treasury_10Y,Unemployment Rate
2015-03-31,28.4867964726331,28.577166544703843,28.09594836715084,28.11176300048828,168362400.0,261194000000.0,132188000000.0,67891000000.0,58729000000.0,129006000000.0,100920000000.0,40072000000.0,19081000000.0,-22331000000.0,-1739000000.0,58010000000.0,18278000000.0,18564000000.0,13569000000.0,0.55,0.58,236.222,18.193707,0.03,0.26,1.94,5.4
2015-04-01,28.19987321218302,28.26765119682909,27.81128311069915,28.07109642028809,162485600.0,261375166666.66666,132419606060.60606,67937393939.393936,58828333333.333336,128955560606.06061,100879575757.57576,40183318181.818184,19018984848.484848,-22165424242.424244,-1754393939.3939395,57882651515.15151,18214439393.939392,18502015151.515152,13525181818.181818,0.5484848484848486,0.5781818181818181,236.2574090909091,18.195422954545453,0.03,0.27,1.87,5.409090909090909
2015-04-02,28.24731743376598,28.36705704749448,28.057541832460235,28.31283569335937,128880400.0,261556333333.33334,132651212121.21213,67983787878.78788,58927666666.666664,128905121212.12122,100839151515.15152,40294636363.63636,18956969696.969696,-21999848484.848484,-1769787878.7878788,57755303030.30303,18150878787.878788,18440030303.030304,13481363636.363636,0.546969696969697,0.5763636363636363,236.29281818181818,18.19713890909091,0.02,0.25,1.92,5.418181818181819
2015-04-06,28.120794480340148,28.80760447573823,28.089165220076094,28.771455764770508,148776000.0,261918666666.66666,133114424242.42424,68076575757.57576,59126333333.333336,128804242424.24243,100758303030.30302,40517272727.27273,18832939393.939392,-21668696969.696968,-1800575757.5757575,57500606060.606064,18023757575.757576,18316060606.060608,13393727272.727272,0.543939393939394,0.5727272727272726,236.36363636363637,18.200570818181816,0.03,0.21,1.92,5.4363636363636365
2015-04-07,28.8369735124514,28.94541619615025,28.46194012280024,28.46871757507324,140049200.0,262099833333.33334,133346030303.0303,68122969696.969696,59225666666.666664,128753803030.30302,100717878787.87878,40628590909.09091,18770924242.424244,-21503121212.121212,-1815969696.969697,57373257575.757576,17960196969.696968,18254075757.575756,13349909090.90909,0.5424242424242425,0.5709090909090909,236.39904545454547,18.202286772727273,0.02,0.22,1.89,5.445454545454545
2015-04-08,28.43257398810637,28.556833047720136,28.233761216390032,28.3760929107666,149316800.0,262281000000.0,133577636363.63637,68169363636.36364,59325000000.0,128703363636.36363,100677454545.45454,40739909090.90909,18708909090.909092,-21337545454.545456,-1831363636.3636365,57245909090.90909,17896636363.636364,18192090909.090908,13306090909.09091,0.540909090909091,0.5690909090909091,236.43445454545454,18.204002727272727,0.03,0.22,1.92,5.454545454545455
2015-04-09,28.43257338176802,28.59749888249593,28.16372463145672,28.592979431152344,129936000.0,262462166666.66666,133809242424.24243,68215757575.757576,59424333333.333336,128652924242.42424,100637030303.0303,40851227272.72727,18646893939.39394,-21171969696.969696,-1846757575.7575758,57118560606.06061,17833075757.575756,18130106060.60606,13262272727.272728,0.5393939393939394,0.5672727272727273,236.46986363636364,18.205718681818183,0.03,0.22,1.97,5.463636363636364
2015-04-10,28.455169653275934,28.739834801498706,28.299283032304107,28.714982986450195,160752000.0,262643333333.33334,134040848484.84848,68262151515.15151,59523666666.666664,128602484848.48485,100596606060.60606,40962545454.545456,18584878787.878788,-21006393939.39394,-1862151515.1515152,56991212121.21212,17769515151.515152,18068121212.121212,13218454545.454546,0.537878787878788,0.5654545454545454,236.50527272727274,18.207434636363637,0.02,0.24,1.96,5.472727272727273
2015-04-13,29.001904891645427,29.047092515125456,28.60427931527552,28.65850067138672,145460400.0,262824500000.0,134272454545.45454,68308545454.545456,59623000000.0,128552045454.54546,100556181818.18182,41073863636.36364,18522863636.363636,-20840818181.818184,-1877545454.5454545,56863863636.36364,17705954545.454544,18006136363.636364,13174636363.636364,0.5363636363636364,0.5636363636363636,236.54068181818184,18.20915059090909,0.03,0.23,1.94,5.4818181818181815
2015-04-14,28.69238704841748,28.757905304423037,28.44613038063704,28.53424072265625,102098400.0,263005666666.66666,134504060606.06061,68354939393.93939,59722333333.333336,128501606060.60606,100515757575.75757,41185181818.181816,18460848484.848484,-20675242424.242424,-1892939393.939394,56736515151.51515,17642393939.39394,17944151515.151516,13130818181.818182,0.5348484848484849,0.5618181818181818,236.5760909090909,18.210866545454547,0.02,0.23,1.9,5.490909090909091
2015-04-15,28.55909213971287,28.721756190962704,28.46872207324142,28.642683029174805,115881600.0,263186833333.33334,134735666666.66667,68401333333.333336,59821666666.666664,128451166666.66667,100475333333.33333,41296500000.0,18398833333.333332,-20509666666.666668,-1908333333.3333333,56609166666.666664,17578833333.333332,17882166666.666668,13087000000.0,0.5333333333333333,0.5599999999999999,236.6115,18.2125825,0.02,0.23,1.91,5.5
2015-04-16,28.529719363764062,28.714977214554786,28.49131264774216,28.504867553710938,113476000.0,263368000000.0,134967272727.27272,68447727272.72727,59921000000.0,128400727272.72728,100434909090.90909,41407818181.818184,18336818181.81818,-20344090909.090908,-1923727272.7272727,56481818181.818184,17515272727.272728,17820181818.18182,13043181818.181818,0.5318181818181819,0.5581818181818181,236.6469090909091,18.214298454545453,0.02,0.22,1.9,5.509090909090909
2015-04-17,28.364799289963205,28.498093812458613,28.11854088290796,28.184059143066406,207828000.0,263549166666.66666,135198878787.87878,68494121212.121216,60020333333.333336,128350287878.78787,100394484848.48485,41519136363.63636,18274803030.303032,-20178515151.515152,-1939121212.121212,56354469696.969696,17451712121.21212,17758196969.696968,12999363636.363636,0.5303030303030304,0.5563636363636363,236.68231818181818,18.21601440909091,0.01,0.23,1.87,5.5181818181818185
2015-04-20,28.36931581651129,28.945421778472703,28.27894574689017,28.82794189453125,188217200.0,263730333333.33334,135430484848.48485,68540515151.51515,60119666666.666664,128299848484.84848,100354060606.06061,41630454545.454544,18212787878.78788,-20012939393.939392,-1954515151.5151515,56227121212.121216,17388151515.151516,17696212121.21212,12955545454.545454,0.5287878787878788,0.5545454545454546,236.71772727272727,18.217730363636363,0.03,0.24,1.9,5.527272727272727
2015-04-21,28.940902839272205,28.96349319980435,28.617829312949773,28.67205238342285,129740400.0,263911500000.0,135662090909.09091,68586909090.90909,60219000000.0,128249409090.90909,100313636363.63637,41741772727.27273,18150772727.272728,-19847363636.363636,-1969909090.909091,56099772727.27273,17324590909.090908,17634227272.727272,12911727272.727272,0.5272727272727273,0.5527272727272727,236.75313636363637,18.219446318181816,0.03,0.23,1.92,5.536363636363636
2015-04-22,28.69012981633884,29.11486693077508,28.538760930858807,29.058385848999023,150618000.0,264092666666.66666,135893696969.69698,68633303030.30303,60318333333.333336,128198969696.9697,100273212121.21213,41853090909.09091,18088757575.757576,-19681787878.78788,-1985303030.3030303,55972424242.42424,17261030303.030304,17572242424.242424,12867909090.90909,0.5257575757575758,0.5509090909090909,236.78854545454547,18.221162272727273,0.03,0.23,1.99,5.545454545454545
2015-04-23,28.986085731534057,29.465044100634334,28.949937019476813,29.29560089111328,183083600.0,264273833333.33334,136125303030.30302,68679696969.69697,60417666666.666664,128148530303.0303,100232787878.78787,41964409090.90909,18026742424.242424,-19516212121.21212,-2000696969.6969697,55845075757.57576,17197469696.969696,17510257575.757576,12824090909.090908,0.5242424242424243,0.5490909090909091,236.82395454545454,18.222878227272727,0.03,0.24,1.96,5.554545454545455
2015-04-24,29.4808658053768,29.51249507233454,29.196198955425597,29.43342018127441,178103600.0,264455000000.0,136356909090.90909,68726090909.09091,60517000000.0,128098090909.09091,100192363636.36363,42075727272.72727,17964727272.727272,-19350636363.636364,-2016090909.090909,55717727272.72727,17133909090.909092,17448272727.272728,12780272727.272728,0.5227272727272727,0.5472727272727272,236.85936363636364,18.224594181818183,0.03,0.24,1.93,5.5636363636363635
2015-04-27,29.89204527986709,30.07730487111238,29.62997224961684,29.96885871887207,387816800.0,264636166666.66666,136588515151.51515,68772484848.48485,60616333333.333336,128047651515.15152,100151939393.93939,42187045454.545456,17902712121.21212,-19185060606.060608,-2031484848.4848485,55590378787.878784,17070348484.848484,17386287878.78788,12736454545.454546,0.5212121212121212,0.5454545454545454,236.89477272727274,18.226310136363637,0.02,0.25,1.94,5.572727272727272
2015-04-28,30.37778034852781,30.3958512573616,29.273010752024025,29.49667358398437,475696000.0,264817333333.33334,136820121212.12122,68818878787.87878,60715666666.666664,127997212121.21213,100111515151.51515,42298363636.36363,17840696969.696968,-19019484848.484848,-2046878787.878788,55463030303.030304,17006787878.787878,17324303030.303032,12692636363.636364,0.5196969696969698,0.5436363636363636,236.93018181818184,18.22802609090909,0.02,0.24,2.0,5.581818181818181
2015-04-29,29.40630642944881,29.729376509602265,28.98608711193137,29.06290054321289,253544400.0,264998500000.0,137051727272.72726,68865272727.27272,60815000000.0,127946772727.27272,100071090909.09091,42409681818.181816,17778681818.18182,-18853909090.909092,-2062272727.2727273,55335681818.181816,16943227272.727272,17262318181.81818,12648818181.818182,0.5181818181818182,0.5418181818181818,236.9655909090909,18.229742045454547,0.01,0.25,2.06,5.590909090909091
2015-04-30,29.06290472462493,29.06290472462493,28.14565252633928,28.274429321289062,332781600.0,265179666666.66666,137283333333.33333,68911666666.66667,60914333333.333336,127896333333.33333,100030666666.66667,42521000000.0,17716666666.666668,-18688333333.333332,-2077666666.6666667,55208333333.333336,16879666666.666666,17200333333.333332,12605000000.0,0.5166666666666667,0.54,237.001,18.231458,0.01,0.24,2.05,5.6
2015-05-01,28.489050731328103,29.39952700741108,28.30831234553649,29.1329345703125,234050400.0,265360833333.33334,137514939393.9394,68958060606.06061,61013666666.666664,127845893939.39394,99990242424.24243,42632318181.818184,17654651515.151516,-18522757575.757576,-2093060606.060606,55080984848.48485,16816106060.60606,17138348484.848484,12561181818.181818,0.5151515151515151,0.5381818181818182,237.03081818181818,18.233173954545453,0.01,0.25,2.12,5.586363636363636
2015-05-04,29.257198114573235,29.4989387807409,28.977050729425283,29.07645797729492,203953200.0,265542000000.0,137746545454.54544,69004454545.45454,61113000000.0,127795454545.45454,99949818181.81818,42743636363.63636,17592636363.636364,-18357181818.18182,-2108454545.4545455,54953636363.63637,16752545454.545454,17076363636.363636,12517363636.363636,0.5136363636363637,0.5363636363636364,237.06063636363638,18.23488990909091,0.02,0.25,2.16,5.572727272727272
