datetime,Volume,BBP_5_2.0,DPO_20,BULLP_13,Target
2019-01-30 16:00:00,1128888,0.5821221631738027,-0.5135941144999734,0.5884393379658306,1
2019-01-30 17:00:00,901464,0.7649954959122668,-0.4606301059999822,0.4823154168278591,1
2019-01-30 18:00:00,858440,0.7258948882740321,-0.463404983999979,0.4730472829953029,1
2019-01-30 19:00:00,2207848,0.9917259199936383,0.2426210390000278,1.0056015682816906,0
2019-01-30 20:00:00,2148364,0.727016101174429,0.0038606980000253,0.8784900670985962,0
2019-01-30 21:00:00,800,0.7019749995665266,0.0627364180000213,0.668193906084511,0
2019-01-31 12:00:00,2400,0.747069699964283,0.2014804270000212,0.7805951180724406,0
2019-01-31 13:00:00,40480,0.6940115182629658,0.0795063440000234,0.6446074312049461,1
2019-01-31 14:00:00,994788,0.7321791271777268,0.0639428920000213,0.5952641538899499,1
2019-01-31 15:00:00,2116200,0.9674318331382668,0.4211785500000289,0.947313120477105,1
2019-01-31 16:00:00,1261944,0.8742173297927608,0.5233665250000215,0.8726508618375206,0
2019-01-31 17:00:00,939848,0.550239035781455,0.1950861430000259,0.7666005572893013,0
2019-01-31 18:00:00,646232,0.3933812908145371,0.1170275540000247,0.4323381405336874,0
2019-01-31 19:00:00,539592,0.1310425936910656,-0.0703371819999816,0.3529955576003019,0
2019-01-31 20:00:00,1169168,0.185203610209882,-0.1983436029999765,0.2108759265145465,0
2019-01-31 21:00:00,10132,0.3014114819939813,-0.1871234394999845,0.1156014384410397,0
2019-01-31 22:00:00,700,0.3466131463268352,-0.2513076189999808,0.053585810092315,1
2019-02-01 13:00:00,5200,0.9392522004532312,-0.1300574269999757,0.1969117457934146,0
2019-02-01 14:00:00,1113896,0.7870524353766802,-0.1709567499999735,0.4042154292515008,1
2019-02-01 15:00:00,1540224,0.9264706649097189,0.0206306255000257,0.5570854893584283,0
2019-02-01 16:00:00,774556,0.7435274971557609,-0.055376950999971,0.3582337080215083,0
2019-02-01 17:00:00,797492,0.3225354966185894,-0.2701285464999685,0.2401845825898618,0
2019-02-01 18:00:00,644396,0.2510701874076677,-0.3608550644999724,0.0931537622198845,0
2019-02-01 19:00:00,717260,0.0888085342382113,-0.6489600074999728,0.0570955119027587,1
2019-02-01 20:00:00,1174380,0.3333674323054914,-0.6215731544999699,-0.0024221255119272,1
2019-02-04 13:00:00,1200,0.7559585178342877,-0.5438765069999718,0.105472040989774,1
2019-02-04 14:00:00,1142980,0.9756479103364166,-0.0353495634999703,0.6126336008483761,1
2019-02-04 15:00:00,1736756,0.8319467405852935,-0.0124266364999741,0.7250437635843241,1
2019-02-04 16:00:00,1221976,0.7985834061310797,0.1286096655000221,0.7700341987865684,0
2019-02-04 17:00:00,735032,0.6882336737369491,0.0090485210000252,0.6334869875313487,1
2019-02-04 18:00:00,679872,0.8186592387993133,0.0618918935000323,0.6184793707411558,0
2019-02-04 19:00:00,576804,0.6711604156497837,-0.0668384189999713,0.569593966349558,0
2019-02-04 20:00:00,1022736,0.5830186290948243,-0.1674579869999775,0.4289340425853396,0
2019-02-04 22:00:00,1420,0.3436534770335446,-0.3089768684999754,0.3056107393588618,1
2019-02-05 12:00:00,6260,0.981786858402127,-0.0844528729999751,0.5666718180218879,1
2019-02-05 13:00:00,7600,0.8791767750522476,-0.0199067534999741,0.5519021725901823,1
