datetime,open,high,low,close,Volume,Volume MA
2019-01-02 12:00:00,37.35712544,37.40055834,37.32575723,37.3667772,9300,NaN
2019-01-02 13:00:00,37.26543375,37.40055834,37.26060787,37.28232432,6720,NaN
2019-01-02 14:00:00,37.40055834,37.52120531,37.2195879,37.44881713,1111248,NaN
2019-01-02 15:00:00,37.44399125,37.92899204,37.2992149,37.84695211,1248344,NaN
2019-01-02 16:00:00,37.86384268,38.22578357,37.82040977,37.89038501,1027760,NaN
2019-01-02 17:00:00,37.89762383,38.21613181,37.86866856,38.16063421,757336,NaN
2019-01-02 18:00:00,38.16787303,38.32953996,38.16304715,38.29817174,654300,NaN
2019-01-02 19:00:00,38.30058468,38.30058468,38.06894252,38.10272367,558704,NaN
2019-01-02 20:00:00,38.10031073,38.129266,37.82282271,38.09548485,1521196,NaN
2019-01-02 21:00:00,36.05655118,36.19408872,34.92970855,35.28441062,118328,NaN
2019-01-02 22:00:00,35.25545535,35.58120215,35.22891302,35.22891302,108144,NaN
2019-01-02 23:00:00,35.22891302,35.25304241,35.22891302,35.25304241,4400,NaN
2019-01-03 00:00:00,35.25304241,35.25304241,35.21926126,35.21926126,800,NaN
2019-01-03 12:00:00,34.75838987,34.99244498,34.75356399,34.9876191,58976,NaN
2019-01-03 13:00:00,34.90316622,35.20478363,34.73184754,34.79217102,61848,NaN
2019-01-03 14:00:00,34.76080281,34.96590264,34.4591854,34.84525568,4035000,NaN
2019-01-03 15:00:00,34.84284274,34.84284274,34.28545378,34.54846415,3531668,NaN
2019-01-03 16:00:00,34.54846415,35.10585312,34.54122534,34.92246974,1983668,NaN
2019-01-03 17:00:00,34.92246974,35.15893778,34.84766862,35.00209673,1025740,NaN
2019-01-03 18:00:00,34.99485791,35.02622612,34.48090185,34.49537949,1136060,947977
2019-01-03 19:00:00,34.48814067,34.73305401,34.38438428,34.41333956,968916,995957.8
2019-01-03 20:00:00,34.42057837,34.5822453,34.26373732,34.28424731,2107240,1100983.8
2019-01-03 21:00:00,34.29751847,34.3916231,34.29751847,34.3916231,5180,1045680.4
2019-01-04 00:00:00,34.32888668,34.32888668,34.31199611,34.31199611,800,983303.2
2019-01-04 12:00:00,34.74632517,34.75115105,34.74632517,34.74873811,20068,932918.6
2019-01-04 13:00:00,34.7728675,34.79217102,34.73184754,34.75115105,29916,896547.6
2019-01-04 14:00:00,34.70047933,35.08413667,34.65222054,35.07931079,1411536,934409.4
2019-01-04 15:00:00,35.07689785,35.52570455,35.04070376,35.51605279,2207672,1016857.8
2019-01-04 16:00:00,35.50881397,35.70426205,35.46538107,35.50157516,1507452,1016170.6
2019-01-04 17:00:00,35.49433634,35.67289384,35.4364258,35.60050567,1012700,1060889.2
2019-01-04 18:00:00,35.59688626,35.83697371,35.58361509,35.67530678,1292048,1120084.4
2019-01-04 19:00:00,35.67771972,35.79354081,35.50640103,35.51122691,886728,1164200.8
2019-01-04 20:00:00,35.50881397,35.77906317,35.48951046,35.77665023,1627840,1245552.8
2019-01-04 21:00:00,35.77423729,35.77423729,35.75252084,35.75734672,4796,1242843.8
2019-01-07 12:00:00,35.78147611,35.78147611,35.74769496,35.74769496,1400,1239821.4
2019-01-07 13:00:00,35.71150087,35.71150087,35.6704809,35.68495854,2400,1038191.4
2019-01-07 14:00:00,35.71150087,35.91177483,35.33266941,35.53535631,1812792,952247.6
2019-01-07 15:00:00,35.53294337,35.90936189,35.39781877,35.72115263,2170336,961581
2019-01-07 16:00:00,35.71391381,35.71391381,35.20719657,35.52811749,2103332,1015460.6
2019-01-07 17:00:00,35.53294337,35.6825456,35.42677404,35.63911269,913852,1004350.2
2019-01-07 18:00:00,35.63187388,35.74045614,35.37610232,35.44366461,1083572,1010083
2019-01-07 19:00:00,35.43401286,35.51363985,35.28199768,35.47020695,909720,950207
2019-01-07 20:00:00,35.46055519,35.80801844,35.45814225,35.6704809,2010668,1050481.4
2019-01-08 00:00:00,35.72356557,35.72356557,35.72115263,35.72115263,964,1050489.6
2019-01-08 12:00:00,35.86834192,35.86834192,35.84903841,35.84903841,804,1049526.4
2019-01-08 13:00:00,35.80801844,35.93590422,35.80801844,35.93590422,2800,1048170.6
2019-01-08 14:00:00,35.8611031,36.20615342,35.8611031,35.96485949,1392896,1047238.6
2019-01-08 15:00:00,35.95762067,36.12652642,35.83938665,35.9286654,1465600,1010135
2019-01-08 16:00:00,35.93107834,36.24717338,35.90936189,36.0758547,897156,979620.2
2019-01-08 17:00:00,36.06861588,36.36540741,36.05655118,36.19167578,857548,971862.6
2019-01-08 18:00:00,36.19650166,36.53913903,36.13617818,36.50777082,999204,957220.4
2019-01-08 19:00:00,36.49811907,36.62841779,36.37505916,36.53913903,680580,946913
2019-01-08 20:00:00,36.52948728,36.53672609,36.32921332,36.38229798,1358896,933465.8
2019-01-08 21:00:00,36.37505916,36.37505916,36.35816859,36.37505916,8444,933648.2
2019-01-09 12:00:00,36.75630357,36.76112944,36.53190022,36.57533312,39260,935541.2
2019-01-09 13:00:00,36.59463664,36.59463664,36.31473568,36.4016015,16976,936270
2019-01-09 14:00:00,36.39194974,36.68632833,36.11446173,36.63083072,1801624,935711.6
2019-01-09 15:00:00,36.62841779,36.86729877,36.53190022,36.80214941,2053580,929873.8
2019-01-09 16:00:00,36.79491059,37.16650324,36.7587165,37.11824445,1900492,919731.8
2019-01-09 17:00:00,37.11824445,37.24613023,37.08205036,37.11824445,1059940,927036.2
2019-01-09 18:00:00,37.12548327,37.2075232,37.04826921,37.13513503,777004,911707.8
2019-01-09 19:00:00,37.13272209,37.28473726,36.90107992,37.10376682,927916,912617.6
2019-01-09 20:00:00,37.1085927,37.27749844,36.94451283,37.00001043,1302380,877203.2
2019-01-09 21:00:00,36.99277161,36.99277161,36.99035867,36.99277161,16204,877965.2
2019-01-10 12:00:00,36.73458711,36.73458711,36.67426363,36.67426363,1200,877985
2019-01-10 13:00:00,36.72493536,36.72976123,36.72493536,36.72493536,7200,878205
2019-01-10 14:00:00,36.74665181,36.85764701,36.40401444,36.5125967,1208364,868978.4
2019-01-10 15:00:00,36.51500964,36.84558232,36.45951204,36.80214941,1290404,860218.6
2019-01-10 16:00:00,36.80456235,36.93244813,36.67667657,36.9179705,789612,854841.4
2019-01-10 17:00:00,36.91555756,37.07239861,36.84075644,37.02655276,634516,843689.8
2019-01-10 18:00:00,37.02413982,37.02655276,36.75389063,36.85764701,741684,830813.8
2019-01-10 19:00:00,36.86729877,37.04826921,36.86488583,36.9614034,570420,825305.8
2019-01-10 20:00:00,36.95899046,37.14961266,36.9179705,37.10617976,1218388,818280.4
2019-01-10 21:00:00,37.11100563,37.12307033,37.09411506,37.09411506,104580,823087.2
2019-01-10 23:00:00,37.09894094,37.10135388,37.08687624,37.10135388,10708,821659.6
2019-01-11 00:00:00,37.20269733,37.21476202,37.20269733,37.21476202,1200,820870.8
2019-01-11 12:00:00,37.12307033,37.12307033,37.11100563,37.11100563,5320,731055.6
2019-01-11 13:00:00,36.9179705,36.9179705,36.9179705,36.9179705,1200,628436.6
2019-01-11 14:00:00,36.9179705,37.07963742,36.86729877,36.94451283,819684,574396.2
2019-01-11 15:00:00,36.93968695,37.03379158,36.69598008,36.87936347,1042664,573532.4
2019-01-11 16:00:00,36.87695053,36.91555756,36.64048248,36.76354238,833176,576341
2019-01-11 17:00:00,36.76112944,36.84075644,36.72734829,36.78043296,576516,558771
2019-01-11 18:00:00,36.78043296,36.78525884,36.55964902,36.60187545,751224,531213.2
2019-01-11 19:00:00,36.59463664,36.74906475,36.5680943,36.71769654,527292,556767.6
2019-01-11 20:00:00,36.70804478,36.81903999,36.67908951,36.73941299,1011324,607273.8
2019-01-11 21:00:00,36.72976123,36.73941299,36.72976123,36.73941299,11988,607513.2
2019-01-11 22:00:00,36.73700005,36.73941299,36.73700005,36.73941299,800,547135
2019-01-14 12:00:00,36.37264622,36.37264622,36.37264622,36.37264622,400,482634.8
2019-01-14 14:00:00,36.45951204,36.49570613,36.14824287,36.19408872,1577880,522048.2
2019-01-14 15:00:00,36.20132754,36.30508393,36.16030757,36.21580517,1361712,558408
2019-01-14 16:00:00,36.20615342,36.23510869,36.00587946,36.13376524,963012,569474.4
2019-01-14 17:00:00,36.13617818,36.38471092,36.08791939,36.26888984,717484,576827.6
2019-01-14 18:00:00,36.27371572,36.28095453,36.16272051,36.20615342,461004,538958.4
2019-01-14 19:00:00,36.20132754,36.22063105,36.11687466,36.20132754,496920,558575.4
2019-01-14 20:00:00,36.19408872,36.21821811,36.06861588,36.18926284,1380236,627051.8
2019-01-14 21:00:00,36.19408872,36.19408872,36.19408872,36.19408872,800,627031.8
2019-01-15 13:00:00,36.33162626,36.33162626,36.23993457,36.23993457,1200,626825.8
2019-01-15 14:00:00,36.22063105,36.65254718,36.20615342,36.57050724,810560,667293.8
2019-01-15 15:00:00,36.580159,36.82386586,36.5125967,36.65254718,1228372,687728.2
2019-01-15 16:00:00,36.65013424,36.82386586,36.51500964,36.80456235,690988,670144.4
2019-01-15 17:00:00,36.80818176,36.89142816,36.76836826,36.84558232,470192,651995.2
2019-01-15 18:00:00,36.84558232,36.9614034,36.83110468,36.93486107,502964,648317.6
2019-01-15 19:00:00,36.93244813,37.01207513,36.63806954,36.8383435,754708,648491.8
2019-01-15 20:00:00,36.82869174,37.00724925,36.8262788,36.94209989,1663428,705298.6
2019-01-16 12:00:00,36.95416458,36.95416458,36.95416458,36.95416458,800,654772.4
2019-01-16 13:00:00,36.96864222,36.97105516,36.92279637,36.92279637,2400,654293
2019-01-16 14:00:00,36.91073168,37.60807112,36.90831874,37.45605595,1151936,711849.8
2019-01-16 15:00:00,37.45846889,37.58152879,37.24130435,37.38125483,1077064,765683
2019-01-16 16:00:00,37.38366777,37.49466298,37.26060787,37.34747368,710884,722333.2
2019-01-16 17:00:00,37.34747368,37.44157831,37.28473726,37.42951362,457620,677128.6
2019-01-16 18:00:00,37.42710068,37.48259828,37.33540898,37.4657077,450940,651525
2019-01-16 19:00:00,37.46329477,37.49707591,37.40055834,37.44157831,436352,637468.4
2019-01-16 20:00:00,37.43916537,37.49225004,37.30162784,37.37642895,1092188,669027.6
2019-01-16 21:00:00,37.19063263,37.19063263,37.03861746,37.03861746,3200,644341.6
2019-01-17 13:00:00,37.2075232,37.2075232,37.20511027,37.2075232,1600,575409.8
2019-01-17 14:00:00,37.2075232,37.23406554,36.98311985,37.096528,871472,618943.4
2019-01-17 15:00:00,37.09411506,37.20511027,37.03137864,37.13030915,953268,666546.8
2019-01-17 16:00:00,37.13272209,37.30886665,37.06515979,37.19545851,627104,657374
2019-01-17 17:00:00,37.19787145,37.30404077,37.15443854,37.22200084,437756,617843.2
2019-01-17 18:00:00,37.22682672,37.3667772,37.22682672,37.30886665,426668,604627.2
2019-01-17 19:00:00,37.30886665,38.03998725,37.17374206,37.58635467,2238200,693027.6
2019-01-17 20:00:00,37.58876761,37.60807112,37.4222748,37.60807112,1846716,760215.2
2019-01-17 21:00:00,37.6008323,37.60807112,37.47294652,37.60807112,1200,722539.8
2019-01-17 22:00:00,37.59359348,37.59359348,37.58152879,37.58152879,1200,639428.4
2019-01-18 00:00:00,37.66598166,37.66598166,37.66598166,37.66598166,400,639408.4
2019-01-18 12:00:00,37.82282271,37.86384268,37.82282271,37.86384268,800,639328.4
2019-01-18 13:00:00,37.78662862,37.89762383,37.78662862,37.89762383,2400,581851.6
2019-01-18 14:00:00,37.90486265,38.07859427,37.69734987,37.76973805,1245176,590257.2
2019-01-18 15:00:00,37.77215099,38.09307191,37.69493693,37.88555913,1154816,612453.8
2019-01-18 16:00:00,37.88073325,37.99172846,37.82282271,37.94346968,639888,621567.2
2019-01-18 17:00:00,37.95794731,38.03274843,37.85057151,37.99172846,744940,636267.2
2019-01-18 18:00:00,37.9941414,38.03033549,37.87832032,37.98690258,531512,641025.2
2019-01-18 19:00:00,37.9941414,37.9941414,37.70941457,37.80593214,620520,617441.8
2019-01-18 20:00:00,37.81075802,37.84936504,37.63943933,37.83971329,1112340,672898.8
2019-01-18 21:00:00,37.7914545,37.79386744,37.7914545,37.79386744,800,672858.8
2019-01-22 13:00:00,37.58152879,37.63220051,37.58152879,37.63220051,4400,629505.2
2019-01-22 14:00:00,37.74078278,37.80834508,37.45605595,37.50190179,660492,614866.4
2019-01-22 15:00:00,37.49948885,37.52844412,37.34747368,37.44640419,936348,630328.6
2019-01-22 16:00:00,37.43916537,37.56222527,37.26784669,37.2992149,717528,644317.2
2019-01-22 17:00:00,37.29197608,37.48018534,37.27025963,37.3426478,646900,655328.8
2019-01-22 18:00:00,37.33540898,37.33540898,37.14719972,37.23406554,760880,581462.8
2019-01-22 19:00:00,37.23406554,37.24854317,36.88901522,36.96381634,802468,529250.4
2019-01-22 20:00:00,36.96381634,37.15926442,36.8262788,37.08687624,1385184,598449.6
2019-01-22 21:00:00,37.04585628,37.04585628,37.01448806,37.01448806,2000,598489.6
2019-01-23 12:00:00,37.20028439,37.20028439,37.20028439,37.20028439,8800,598909.6
2019-01-23 13:00:00,37.15926442,37.15926442,37.15926442,37.15926442,400,598889.6
2019-01-23 14:00:00,37.2195879,37.43192655,37.13030915,37.30886665,691864,633362.8
2019-01-23 15:00:00,37.31851841,37.39573247,37.00966219,37.06998567,750540,608631
2019-01-23 16:00:00,37.07963742,37.08205036,36.68874127,36.73700005,851116,593446
2019-01-23 17:00:00,36.73458711,36.86729877,36.60911427,36.83110468,628652,592884.2
2019-01-23 18:00:00,36.84075644,36.98794573,36.7152836,36.96864222,501072,580690.8
2019-01-23 19:00:00,36.99277161,37.06515979,36.8383435,36.94692577,639152,586072.8
2019-01-23 20:00:00,36.94209989,37.14961266,36.93486107,37.13513503,792268,594660.2
2019-01-23 21:00:00,37.12548327,37.12548327,37.12548327,37.12548327,400,539063.2
2019-01-24 13:00:00,37.21234908,37.21234908,37.06515979,37.06515979,2800,539163.2
2019-01-24 14:00:00,37.1520256,37.2750855,36.91073168,36.93003519,807756,579331
2019-01-24 15:00:00,36.92762225,37.07239861,36.74423887,36.74906475,1160652,604339
2019-01-24 16:00:00,36.74665181,36.92279637,36.6477213,36.9059058,787880,596915.6
2019-01-24 17:00:00,36.89866698,36.90349286,36.71287066,36.73458711,394076,580743
2019-01-24 18:00:00,36.73217417,36.77319414,36.63324366,36.68150245,598128,578304.4
2019-01-24 19:00:00,36.68632833,36.75147769,36.61394015,36.7309677,631916,571856.2
2019-01-24 20:00:00,36.72976123,36.85523407,36.69839302,36.84316938,882256,575845.6
2019-01-24 21:00:00,36.83110468,36.83110468,36.72493536,36.79249765,3772,506775
2019-01-25 13:00:00,37.15443854,37.45605595,37.15443854,37.45123007,9568,507153.4
2019-01-25 14:00:00,37.44881713,37.72630514,37.23647848,37.72147926,1449664,579196.6
2019-01-25 15:00:00,37.71665339,37.94346968,37.70941457,37.9265791,1292720,643812.6
2019-01-25 16:00:00,37.9265791,37.94346968,37.69976281,37.88314619,713272,644883
2019-01-25 17:00:00,37.89038501,37.93623086,37.77697687,37.84936504,481400,631426
2019-01-25 18:00:00,37.84695211,38.03274843,37.79386744,38.03274843,484568,613098.6
2019-01-25 19:00:00,38.03757431,38.15580833,37.95070849,38.02550961,755880,619460
2019-01-25 20:00:00,38.03033549,38.11478836,37.93623086,38.049639,1166440,652728.4
2019-01-25 21:00:00,38.08583309,38.09065897,38.08583309,38.09065897,1600,620850.8
2019-01-28 12:00:00,37.94346968,37.94346968,37.69493693,37.69493693,1600,581317.4
2019-01-28 13:00:00,37.71665339,37.73836984,37.65391697,37.73836984,4068,581500.8
2019-01-28 14:00:00,37.65150403,37.70217575,37.07963742,37.30404077,797720,621246.8
2019-01-28 15:00:00,37.29800843,37.5573994,37.23889141,37.24371729,821592,621938.6
2019-01-28 16:00:00,37.24371729,37.43916537,37.2195879,37.26784669,627020,595257
2019-01-28 17:00:00,37.27025963,37.43192655,37.24854317,37.36436426,261456,568935.8
2019-01-28 18:00:00,37.36195132,37.64667815,37.34747368,37.58394173,384196,568441.8
2019-01-28 19:00:00,37.60324524,37.70700163,37.53085706,37.65150403,403980,558734.4
2019-01-28 20:00:00,37.65150403,37.71906633,37.56463821,37.71906633,769604,565618.8
2019-01-28 21:00:00,37.72871808,37.72871808,37.70700163,37.70700163,18280,522420
2019-01-28 22:00:00,37.61048406,37.61048406,37.61048406,37.61048406,1200,522291.4
