datetime,Volume,Ret_10,Std_10,Ret_15,Std_15,Ret_20,Std_20,Ret_25,Std_25,Target
2019-01-04 12:00:00,20068,345.96360998,0.26295751943265955,521.44461679,0.33982148727515815,709.38604188,1.4181508347762082,897.22129765,1.5293263240035262,0
2019-01-04 13:00:00,29916,345.86950534999994,0.25461206713288675,520.96685482,0.3144751806375218,705.97655872,1.2753354069837506,894.6056715,1.5133926592235154,1
2019-01-04 14:00:00,1411536,346.40035199,0.2974340909102574,520.7931232,0.29656941670845544,702.7576977699999,1.0622022514777796,892.40265797,1.486425467709788,1
2019-01-04 15:00:00,2207672,346.99393504,0.40119360967373086,521.0899147299999,0.3391360753393684,700.17102689,0.8096587158605877,890.46989363,1.4410363324000437,0
2019-01-04 16:00:00,1507452,347.49341347,0.4685112482909048,521.60387079,0.38839858527771165,697.5771172,0.38613422321977037,888.12451668,1.3642318539080818,1
2019-01-04 17:00:00,1012700,348.59853964999996,0.5284546443841848,522.41220544,0.4433500840057872,697.8932122499999,0.40937700481610034,885.83463734,1.272594293406519,1
2019-01-04 18:00:00,1292048,349.86050687,0.5597331560389983,523.24225654,0.4945699075203556,698.33960601,0.4396123595573709,883.34930991,1.1409330228844092,0
2019-01-04 19:00:00,886728,351.08748647,0.5220094768274175,524.2050193,0.5103013363833819,698.59779051,0.45356945945728094,880.5623650800001,0.961243440800555,1
2019-01-04 20:00:00,1627840,352.47251359999996,0.493562841254951,525.05919979,0.5532229146790955,699.15517948,0.48809583847841326,878.23629164,0.7629624044667863,0
2019-01-04 21:00:00,4796,353.91786420999995,0.39001845532788626,525.81444978,0.5864152422811647,699.9249070999999,0.5198855293659449,875.8981535099999,0.4720921029000161,0
2019-01-07 12:00:00,1400,354.91682106,0.3303866150275237,527.06676525,0.5902916708298,700.88043104,0.5435128035044177,876.3614378499999,0.49096791764069353,0
2019-01-07 13:00:00,2400,355.85062855,0.20660421924952774,528.33838423,0.5697742626233729,701.7201339,0.559546549963799,876.81748337,0.5059630103088635,0
2019-01-07 14:00:00,1812792,356.30667407,0.11058208034368065,529.58949323,0.5111653227730755,702.70702606,0.5531260336056261,877.09979727,0.5132537316645739,1
2019-01-07 15:00:00,2170336,356.51177391,0.10588255503818358,530.91902276,0.4532874360740871,703.50570895,0.56563749265782,877.60168864,0.5283585288839363,0
2019-01-07 16:00:00,2103332,356.53831624,0.1019763051663887,532.13514414,0.3405634297343127,704.0317297099999,0.5693778190294616,878.14218703,0.5344186177342939,1
2019-01-07 17:00:00,913852,356.57692326,0.10045255418867235,533.02551872,0.2763524578539201,705.1754629100001,0.5518831632998983,878.9891287,0.5392184940181727,0
2019-01-07 18:00:00,1083572,356.34528108999996,0.12062256354314695,533.71803228,0.17547750073799684,706.20578796,0.5157148290666105,879.5875376299999,0.5379651613458002,1
2019-01-07 19:00:00,909720,356.30426113,0.12586510390533656,534.10892844,0.11380788557608189,707.3917476,0.4562870839821495,880.50928043,0.5240348085499651,1
2019-01-07 20:00:00,2010668,356.1980918,0.11627262997696036,534.26335655,0.11193715057664826,708.6706054,0.39789638104733854,881.25729159,0.5276588284717748,0
2019-01-08 00:00:00,964,356.16189770999995,0.11200041620428139,534.48293402,0.11002756054721592,710.07976192,0.30207272703884624,881.9763474900001,0.5331353725627278,0
2019-01-08 12:00:00,804,356.26324115999995,0.12857970443521502,534.73146676,0.1228772754530413,711.18006222,0.2535884415764801,883.33000641,0.5187742313388255,1
2019-01-08 13:00:00,2800,356.51418684,0.1615546468321665,534.9920642,0.14357698226024,712.36481539,0.18368771355853106,884.85257107,0.4951187195861435,1
2019-01-08 14:00:00,1392896,356.94369002,0.18294701760709903,535.4456967799999,0.15586612771685826,713.25036409,0.1507126117952062,886.53318325,0.4502048917939354,0
2019-01-08 15:00:00,1465600,357.15120279,0.1975116833893384,535.59771195,0.166066291655518,713.6629767,0.15768744726262393,888.0702255499999,0.400211633649225,1
2019-01-08 16:00:00,897156,357.69894,0.2150595421314689,535.91621993,0.19145263010280278,714.23725624,0.17429562559192818,889.83408414,0.32656087807024414,1
2019-01-08 17:00:00,857548,358.25150309,0.24642307386727774,536.36020075,0.2259657650182119,714.82842635,0.2022955502213575,891.27702181,0.29725909911162834,1
2019-01-08 18:00:00,999204,359.3156093,0.289391354184009,537.18301303,0.29611882198966616,715.66089039,0.2641587353892419,893.03364158,0.2829404228021875,1
2019-01-08 19:00:00,680580,360.38454138,0.297352816338612,538.18679575,0.3393516077743321,716.68880251,0.3052850990052528,894.49346982,0.29528658828448584,0
2019-01-08 20:00:00,1358896,361.09635846000003,0.284394914144179,538.8479411,0.3596950174157907,717.29445026,0.3284131655383735,895.35971501,0.31332837528004176,0
2019-01-08 21:00:00,8444,361.75026499,0.25920715787078374,539.6948827699999,0.35972207132169254,717.9121627,0.34634060191044475,896.2331990099999,0.3254594415407356,0
2019-01-09 12:00:00,39260,362.4765597,0.2594699537930285,540.6311032,0.3772098500638795,718.7398008600001,0.37591873000496795,897.20802646,0.3517416056441591,0
2019-01-09 13:00:00,16976,362.94225698,0.2382213231456041,541.58904009,0.34867224497851795,719.45644382,0.3846836027772355,897.93432118,0.3632213133603918,1
2019-01-09 14:00:00,1801624,363.60822821,0.22881668139357597,542.7496638599999,0.3255295181883304,720.55191823,0.3969120032873039,899.0539249899999,0.3797060510998109,1
2019-01-09 15:00:00,2053580,364.48171221999996,0.2115880046001728,543.88133237,0.3293023727848497,721.63291501,0.42555484302761665,900.07942417,0.412782680466692,1
2019-01-09 16:00:00,1900492,365.52410197,0.25919667617334624,545.27842419,0.3623081562729221,723.2230419699999,0.4635424073740249,901.4403219,0.46539455785860895,0
2019-01-09 17:00:00,1059940,366.45067063999994,0.2806406133376867,546.54763023,0.38403640109382864,724.7021737299999,0.4929326201605652,902.81087139,0.5062922514283033,1
2019-01-09 18:00:00,777004,367.07803485,0.31460560003756327,547.74686104,0.39698618011331077,726.39364415,0.49509589055418785,904.26104788,0.5373943083987544,0
2019-01-09 19:00:00,927916,367.64266264,0.3312013423105517,548.8857683699999,0.39284406952818135,728.02720402,0.4821570747577586,905.82945839,0.5515277499688741,0
2019-01-09 20:00:00,1302380,368.26037509,0.3088990552604943,549.9571134,0.35953218950818394,729.35673355,0.46751575011660407,907.10831619,0.5612794410451645,0
2019-01-09 21:00:00,16204,368.87808753999997,0.26771244090720625,550.87403031,0.32908609454456866,730.6283525299999,0.4466257959521426,908.57297031,0.5554670179892308,0
2019-01-10 12:00:00,1200,368.97701805,0.25647424230818966,551.3566181599999,0.2950596777654044,731.45357775,0.41743144303216784,909.60812125,0.5391595089137842,0
